"","...1","Show","Season","Episode","Character","Line","Gender","Gender_label","Rownumber","Year","N_words","Year_groups"
"1",430434,"Frasier","9","22","Niles","No, no, it's a concert.  And I hardly think it compares to the torture of assisting Dad.",0,"male",43043,2002,17,"2002-2005"
"2",420321,"Friends","9","3","Ross","With the circus? He's behind the elephant.",0,"male",42032,2002,6,"2002-2005"
"3",435084,"Frasier","9","24","Roz","Yes, you are.  Do I need to fill out another card?",1,"female",43508,2002,11,"2002-2005"
"4",115113,"How I met your mother","01","06","Ted","In a totally new costume.",0,"male",1151,2005,4,"2002-2005"
"5",51118,"Friends","10","17","Phoebe","She's got her cell, you could call her.",1,"female",51118,2004,7,"2002-2005"
"6",44846,"Friends","9","18","Monica","Right! .. but we ""know"" what you're wishing for!",1,"female",44846,2003,8,"2002-2005"
"7",40365,"Friends","8","20","Ross","Wow! It looks like we got a lot of good stuff.",0,"male",40365,2002,10,"2002-2005"
"8",491318,"Frasier","11","9","Lilith","I would say it's a boy.",1,"female",49131,2003,5,"2002-2005"
"9",50972,"Friends","10","17","Joey","Maybe now you can actually do it. You know? You can finally get over her.",0,"male",50972,2004,14,"2002-2005"
"10",460201,"Friends","9","22","David","Ah well, I-I'm seeing someone.",0,"male",46020,2003,4,"2002-2005"
"11",424951,"Friends","9","6","Mike","Oh, sorry. (He digs in again and finally finds what he's been looking for. A key.)",0,"male",42495,2002,15,"2002-2005"
"12",462182,"Frasier","10","15","Daphne","Does she laugh at that kind of stuff?",1,"female",46218,2003,7,"2002-2005"
"13",426301,"Friends","9","6","Rachel","Well, I... you know, I-I-I don't know what to say... I mean, I never thought of you as a guy who needed his men to be men. You know, 'cause I gotta tell you Ross, it not like you just came in from branding cattle.",1,"female",42630,2002,44,"2002-2005"
"14",526792,"Frasier","11","24","Martin","I think we're about to.",0,"male",52679,2004,4,"2002-2005"
"15",495473,"Frasier","11","10","Kenny","Don't worry, it's all on the teleprompter.",0,"male",49547,2003,6,"2002-2005"
"16",443243,"Frasier","10","5","Frasier","""Dark, musty archives""...  I think I could use that!",0,"male",44324,2002,9,"2002-2005"
"17",442511,"Friends","9","15","Phoebe","You don't have to lie anymore, Ross, I know that it was a fourteen year-old girl.",1,"female",44251,2003,15,"2002-2005"
"18",517982,"Frasier","11","21","Niles","I'm sorry, I have to get this.  Hello?",0,"male",51798,2004,8,"2002-2005"
"19",432925,"Frasier","9","23","Daphne","Are you out of your mind?",1,"female",43292,2002,5,"2002-2005"
"20",431221,"Friends","9","8","Rachel","Look Amy, it got a little of control..Um.. and I'm sorry. You're my sister and uh.. if it really means that much to you..",1,"female",43122,2002,23,"2002-2005"
"21",453903,"Frasier","10","11","Daphne","No, I don't think so.",1,"female",45390,2003,4,"2002-2005"
"22",494973,"Frasier","11","10","Niles","I'm sorry I'm late, I had to distribute some sound bites.",0,"male",49497,2003,10,"2002-2005"
"23",488631,"Friends","10","9","Joey","WELL, I DIDN'T MEAN IT!",0,"male",48863,2004,4,"2002-2005"
"24",520151,"Frasier","11","22","Frasier","Oh hey, Daph.  My God, you look hideous.",0,"male",52015,2004,8,"2002-2005"
"25",508751,"Friends","10","17","Rachel","Are you kidding? Eight hours with my mother talking about Atkins? Good luck, Emma!",1,"female",50875,2004,13,"2002-2005"
"26",42281,"Friends","9","5","Chandler","Actually, in Oklahoma smoking is legal in all commune areas and offices with fewer than fifteen people.",0,"male",42281,2002,16,"2002-2005"
"27",443703,"Frasier","10","5","Frasier","All right, everyone, step lively, look sharp.  It's almost showtime.  Give me a final room tone check, please, and... take your marks.",0,"male",44370,2002,23,"2002-2005"
"28",272105,"The Office","1","2","Dwight","A hero kills people, people that wish him harm.",0,"male",272,2005,8,"2002-2005"
"29",523702,"Frasier","11","23","Niles","You still have the Branford Inn on the 15th.",0,"male",52370,2004,8,"2002-2005"
"30",506033,"Frasier","11","16","Frasier","It's a very rare disorder: a crippling fear of clowns.  Yes, I'm treating a pediatric nurse who's terrified every time one comes to visit the children at her hospital.  It's almost cost her her job.",0,"male",50603,2004,36,"2002-2005"
"31",514482,"Frasier","11","19","Charlotte","Maybe I'll just get those sweats you offered and get out of here.",1,"female",51448,2004,12,"2002-2005"
"32",467683,"Frasier","10","19","Niles","Daphne and her mom had a big fight this morning.  Gertrude's been especially difficult to live with lately.",0,"male",46768,2003,18,"2002-2005"
"33",418651,"Friends","9","3","Monica","So you're gonna be gone four days a week? (Thinks about it.) No.",1,"female",41865,2002,12,"2002-2005"
"34",424385,"Frasier","9","18","Roz","Frasier, would you please give this to Freddie for me?  It's for his spelling bee tomorrow.",1,"female",42438,2002,16,"2002-2005"
"35",482363,"Frasier","11","4","Ronee","Yeah, Marty didn't want to call it a night, either.  He's quite the party guy.Walter, you're alive!",1,"female",48236,2003,17,"2002-2005"
"36",48502,"Friends","10","8","Ross","You may want to lose the foam finger!",0,"male",48502,2003,7,"2002-2005"
"37",485571,"Friends","10","8","Joey","(smiling from ear to ear) Ah-haah! I win!!",0,"male",48557,2003,7,"2002-2005"
"38",462353,"Frasier","10","15","Frasier","All right, it's come to my attention that there is some tension between the two of you.  Now, as it is entirely possible that we will be spending a great deal of time together, I think it's important that we establish an environment of mutual respect. To that end, as it is impossible for the two of you to communicate at all, it's time for me to roll up my sleeves and facilitate. Finding some common ground would be the first step, perhaps a love of plants, the seed...",0,"male",46235,2003,89,"2002-2005"
"39",525881,"Frasier","11","24","Frasier","Well, that's understandable.  I remember when I heard that my advice would be heard by millions of people and...",0,"male",52588,2004,19,"2002-2005"
"40",474421,"Friends","10","4","Rachel","Look, I know that you guys really want to get to Vermont and this isn't a really big deal to you, but it really is to us, ok? Emma will never have a first birthday again.",1,"female",47442,2003,35,"2002-2005"
"41",139414,"How I met your mother","01","07","Ted","Didn't used to. There was math, I got confused.",0,"male",1394,2005,8,"2002-2005"
"42",398631,"Friends","8","17","Monica","Are you kidding? This is where they get out stains! Okay? This is like Disneyland for me. Im-Im gonna be over here watching the dance of the clean shirts. (She points to and walks over to the electric clothes rack they have.)",1,"female",39863,2002,41,"2002-2005"
"43",424861,"Friends","9","6","Phoebe","I know! (Phoebe picks up a little packet of sugar, shakes it, and then realises she can't open it with one hand, but doesn't want to let go of Mike's hand. She tries to tear open the packet with one hand.)",1,"female",42486,2002,40,"2002-2005"
"44",455001,"Friends","9","20","Monica","Oh my god, honey, I'm so so so so so sorry.",1,"female",45500,2003,10,"2002-2005"
"45",516717,"Frasier","11","20","Frasier","Oh, gosh, I'm sorry, it's my watch.  It's caught.",0,"male",51671,2004,9,"2002-2005"
"46",494373,"Frasier","11","10","Niles","Oh, nothing, nothing.  It's a silly thing.  Page thirty.",0,"male",49437,2003,10,"2002-2005"
"47",489833,"Frasier","11","8","Daphne","The hell I can't!  If you hadn't have snuck off to have lunch with her, we never would have been dragged into this, and you wouldn't be sleeping alone on the couch tonight!  But you did, and we were, so you are!I hate that kind of cracker!",1,"female",48983,2003,48,"2002-2005"
"48",401621,"Friends","8","19","Rachel","And you know Monica and Ross!",1,"female",40162,2002,5,"2002-2005"
"49",49641,"Friends","10","12","Ross","What? A dog? No! Rachel gets to choose.",0,"male",49641,2004,7,"2002-2005"
"50",482981,"Friends","10","7","Chandler","WE'LL TALK TO YOU LATER, BERT. EVERYTHNG'S FINE!!",0,"male",48298,2003,7,"2002-2005"
"51",423681,"Friends","9","5","Rachel","Boy, are you gonna be sorry if thats true.",1,"female",42368,2002,8,"2002-2005"
"52",444523,"Frasier","10","5","Frasier","That's exactly what you were supposed to think!",0,"male",44452,2002,7,"2002-2005"
"53",78516,"The Office","1","4","Michael","Read it out loud. And say who wrote everything so we know whose is the best.",0,"male",785,2005,15,"2002-2005"
"54",451433,"Frasier","10","9","Roz","Frasier, you said you loved that CD.",1,"female",45143,2002,6,"2002-2005"
"55",490253,"Frasier","11","8","Niles","Oh, this is great!  I was being smothered!  Oh, I can breathe.  I don't know how you stand it!",0,"male",49025,2003,21,"2002-2005"
"56",480742,"Frasier","11","3","Frasier","Yes, that's right.  All my life, I have dreamed of being half of a power couple, and I finally am!  Is it perfect?  No.  But it's fun, and I don't want it to end.",0,"male",48074,2003,37,"2002-2005"
"57",467751,"Friends","10","1","Rachel","Sorry, I just uhm... I can't seem to get Ross out of my head...",1,"female",46775,2003,13,"2002-2005"
"58",164114,"How I met your mother","01","08","Barney","It's out there, it's a thing. The lemon law is a thing. Damn, I should have called it Barney's law.",0,"male",1641,2005,19,"2002-2005"
"59",483382,"Frasier","11","4","Frasier","Splendid.  And Dad, you should go down and see Ronee.  She must like you an awful lot, considering who she passed up.",0,"male",48338,2003,23,"2002-2005"
"60",481161,"Friends","10","6","Ross","Yeah. He wouldn't give me the grant, because I wouldn't give you up.",0,"male",48116,2003,12,"2002-2005"
"61",48772,"Friends","10","9","Phoebe","I’m sorry, I can’t believe I set you up with such a MONSTER!",1,"female",48772,2004,12,"2002-2005"
"62",441272,"Frasier","10","4","Frasier","Really?  I count three snack plates around your chair, all of them on tabletops.",0,"male",44127,2002,14,"2002-2005"
"63",406681,"Friends","8","22","Rachel","Do you want me to come over there and sit on you? Cause Ill do it.",1,"female",40668,2002,15,"2002-2005"
"64",412211,"Friends","8","23","Chandler","And if not, we got to do it on a bucket.",0,"male",41221,2002,10,"2002-2005"
"65",446301,"Friends","9","17","Joey","Hey, look who's here! It's Joey, and he brought home a friend.",0,"male",44630,2003,11,"2002-2005"
"66",493201,"Friends","10","11","Chandler","(to the two guys) Excuse me. (Chandler and Ross move away from them). That didn't make us sound gay at all!",0,"male",49320,2004,20,"2002-2005"
"67",432171,"Friends","9","9","Chandler","Look I, I can't. What's going on?",0,"male",43217,2002,6,"2002-2005"
"68",495843,"Frasier","11","11","Frasier","Oh, knock it off.  You didn't even know that term until ten seconds ago.",0,"male",49584,2003,14,"2002-2005"
"69",494211,"Friends","10","11","Monica","(screeching) OH! Oh, oh! (holding her hand in front of her mouth)",1,"female",49421,2004,11,"2002-2005"
"70",513392,"Frasier","11","19","Charlotte","Well, one of them ate his landlord's cat.",1,"female",51339,2004,7,"2002-2005"
"71",470723,"Frasier","10","21","Niles","But surely you don't intend to let the promise of wealth and exposure lure you into her bed.",0,"male",47072,2003,17,"2002-2005"
"72",42220,"Friends","9","4","Mike","No. well look can I think your weird and also cool for telling me the truth and also wanna kiss you.",0,"male",42220,2002,20,"2002-2005"
"73",416435,"Frasier","9","13","Roz","Yeah, that's how we keep drunks from wandering in.",1,"female",41643,2002,8,"2002-2005"
"74",421095,"Frasier","9","16","Daphne","Hello, Crane residence.  Thank you.That was the doorman.  Mr. Sternin's on his way up.",1,"female",42109,2002,15,"2002-2005"
"75",209113,"How I met your mother","01","10","Robin","That goes on for three-and a half minutes.",1,"female",2091,2005,7,"2002-2005"
"76",454571,"Friends","9","20","Charlie","No, but he did just win the McArthur genius grant.",0,"male",45457,2003,9,"2002-2005"
"77",44773,"Friends","9","18","Monica","And what else is it not?",1,"female",44773,2003,5,"2002-2005"
"78",386941,"Friends","8","12","Monica","Chandler! Hes seven; hes not stupid.",1,"female",38694,2002,5,"2002-2005"
"79",434781,"Friends","9","10","Monica","Ohh, you are such a good boss! Is she pretty?",1,"female",43478,2002,9,"2002-2005"
"80",173815,"The Office","2","3","Michael","I'm an early bird, and I'm a night owl. So I'm wise, and I have worms. Oh, breakfast.",0,"male",1738,2005,17,"2002-2005"
"81",422819,"Frasier","9","17","Niles","Well, they don't cater to all tastes, but I'm confident you'll find something to confident your interest.",0,"male",42281,2002,16,"2002-2005"
"82",442421,"Friends","9","15","Chandler","(on the floor) Yah, I think I broke my hip.",0,"male",44242,2003,9,"2002-2005"
"83",210416,"The Office","2","4","Michael","Wow, some pretty big books back there, huh?",0,"male",2104,2005,7,"2002-2005"
"84",272014,"The Office","2","6","Ryan","I have the emergency contacts.",0,"male",2720,2005,4,"2002-2005"
"85",455093,"Frasier","10","11","Roz","Are you guys really this bent out of shape over that gold spa?",1,"female",45509,2003,12,"2002-2005"
"86",501443,"Frasier","11","13","Frasier","No, I've been here a while.  Can't bring myself to go in. Not with her in there.",0,"male",50144,2004,17,"2002-2005"
"87",468523,"Frasier","10","20","Daphne","Please?  I'll give you some treats.",1,"female",46852,2003,6,"2002-2005"
"88",522081,"Frasier","11","23","Bebe","Well, last week he had a not-so-nice encounter with a falling air conditioner.",1,"female",52208,2004,12,"2002-2005"
"89",58816,"The Office","1","3","Kevin","Do you think we should go ?",0,"male",588,2005,6,"2002-2005"
"90",413891,"Friends","9","1","Rachel","Of course! Oh Joey, this ring Iits beautiful I love it!",1,"female",41389,2002,10,"2002-2005"
"91",123216,"The Office","1","6","Ryan","It says flavor: Blue Blast.",0,"male",1232,2005,4,"2002-2005"
"92",467281,"Friends","10","1","Rachel","...I really don't... (looks around again)",1,"female",46728,2003,5,"2002-2005"
"93",507081,"Friends","10","16","Joey","If you get a second, find out where she got that cheeseburger.",0,"male",50708,2004,11,"2002-2005"
"94",454501,"Friends","9","20","Ross","Who is intimidating to a guy who won the Nobel Prize?",0,"male",45450,2003,10,"2002-2005"
"95",213216,"The Office","2","4","Dwight","Yeah, but look, I mean, he didn't need business school. Okay, Michael comes from the school of hard knocks.",0,"male",2132,2005,18,"2002-2005"
"96",166106,"The Office","1","1","Pam","Do you mind if I go out for a drink with these guys?",1,"female",166,2005,12,"2002-2005"
"97",482631,"Friends","10","7","Mike","She could have been talking about either one of us.",0,"male",48263,2003,9,"2002-2005"
"98",511221,"Friends","10","17","Phoebe","Rachel? Oh, good. Hey, by the way, did you just get on the plane?",1,"female",51122,2004,13,"2002-2005"
"99",199414,"How I met your mother","01","10","Barney","Ehhh! Trick question, no thinking. You know what time it is? It's do o'clock. Let's ride.",0,"male",1994,2005,15,"2002-2005"
"100",535103,"How I met your mother","01","03","Marshall","(On Phone) I...I didn't ask.",0,"male",535,2005,4,"2002-2005"
"101",461021,"Friends","9","23","Monica","Alright, I'm gonna go pick up a few things for the trip.",1,"female",46102,2003,11,"2002-2005"
"102",440481,"Friends","9","14","Rachel","Oh, well, I...It's kind of weird talking to you about this, but...",1,"female",44048,2003,11,"2002-2005"
"103",491351,"Friends","10","10","Monica","What the hell is that dog doing here?! (She notices the dog sitting in the living room.)",1,"female",49135,2004,16,"2002-2005"
"104",175414,"How I met your mother","01","09","Lily","That's a big baby, Judy.",1,"female",1754,2005,4,"2002-2005"
"105",493351,"Friends","10","11","Monica","I can't believe we are at a real college party! (Rachel laughs excitedly) I have to pee so bad!",1,"female",49335,2004,18,"2002-2005"
"106",4161110,"Frasier","9","13","Frasier","Yes, immerse yourself in the spectacle and the grandeur that are these United States, this... America.",0,"male",41611,2002,15,"2002-2005"
"107",524092,"Frasier","11","23","Bebe","You don't like the terms of the deal, I'll have another swing at it.Did that old man just faint?",1,"female",52409,2004,18,"2002-2005"
"108",393551,"Friends","8","15","Monica","(to herself) Ive still got it!",1,"female",39355,2002,5,"2002-2005"
"109",46569,"Friends","9","23","Phoebe","(pointing at Mike and shouting) I sleep with him!",1,"female",46569,2003,8,"2002-2005"
"110",427375,"Frasier","9","19","Daphne","No, he and Niles went out - wine club or something.",1,"female",42737,2002,10,"2002-2005"
"111",169016,"The Office","2","2","Jan","That's not my sense of humor.",1,"female",1690,2005,5,"2002-2005"
"112",471861,"Friends","10","3","Chandler","You mean like this? (he starts touching his thigh in a funny and awkard way)",0,"male",47186,2003,14,"2002-2005"
"113",402461,"Friends","8","20","Monica","Yes, thank you so much. And again, were so sorry. We could not feel worse about it.",1,"female",40246,2002,16,"2002-2005"
"114",453591,"Friends","9","20","Joey","Ok, ok! Fine! You can come, but don't tell anybody else. It's up on the roof at 8.",0,"male",45359,2003,17,"2002-2005"
